SampleDateTime;DeviceID;BatteryVoltage;ChargingFlag;PLMN;SignalStrength;AttachTries;ConnectTries;AttachFailures;ConnectFailures;GeneralFailures;LastFailureCode;Temperature
2022-12-25 23:26:54.3809300;cg1;3534;0;1;24;5;0;0;0;0;0;-15.19
2022-12-25 23:42:12.8554390;cg1;3542;0;1;23;6;0;0;0;0;0;-14.25
2022-12-25 23:57:31.3390750;cg1;3536;0;1;24;6;0;0;0;0;0;-12.94
2022-12-26 00:12:50.6248280;cg1;3552;0;1;17;9;0;0;0;0;0;-10.75
2022-12-26 00:28:09.6509930;cg1;3542;0;1;24;5;0;0;0;0;0;-8.62
2022-12-26 00:43:34.3755580;cg1;3528;0;8;22;16;0;0;0;0;0;-7.19
2022-12-26 00:58:53.0239270;cg1;3528;0;8;23;6;0;0;0;0;0;-6.31
2022-12-26 01:14:15.9743180;cg1;3512;0;8;17;10;1;0;0;0;0;-5.75
2022-12-26 01:29:40.0377400;cg1;3498;0;8;22;18;0;0;0;0;0;-5.31
2022-12-26 01:29:40.9850230;cg1;3498;0;8;22;18;0;0;0;0;0;-5.31
2022-12-26 01:44:57.8999080;cg1;3464;0;8;23;6;0;0;0;0;0;-5.19
2022-12-26 02:00:15.5020400;cg1;3450;0;8;23;5;1;0;0;0;0;-5.06
2022-12-26 02:15:36.2288490;cg1;3434;0;1;24;14;0;0;0;0;0;-4.94
2022-12-26 02:31:04.1402820;cg1;3402;0;8;21;23;0;0;0;0;8;
2022-12-26 02:46:30.6413440;cg1;3352;0;1;23;22;0;0;0;0;0;-4.38
2022-12-26 03:01:49.8336140;cg1;3296;2;1;20;9;0;0;0;0;0;-4.19
2022-12-26 03:17:20.5521470;cg1;4592;1;8;21;18;1;0;0;0;3;-3.94
2022-12-26 03:32:38.9553460;cg1;4584;1;8;23;8;0;0;0;0;3;-3.56
2022-12-26 03:48:12.8689360;cg1;4576;1;8;22;35;1;0;0;0;3;-3.19
2022-12-26 04:03:37.2684790;cg1;4578;1;1;19;17;0;0;0;0;3;-2.88
2022-12-26 04:19:01.0323600;cg1;4582;1;1;20;17;0;0;0;0;3;-2.56
2022-12-26 04:49:50.7670580;cg1;4578;1;8;20;24;0;0;0;0;3;-1.88
2022-12-26 05:05:09.7533910;cg1;4560;1;8;20;9;0;0;0;0;3;-1.56
2022-12-26 05:20:32.0863720;cg1;4578;1;8;21;10;0;0;0;0;3;-1.38
2022-12-26 05:35:56.5552400;cg1;4572;1;1;24;15;1;0;0;0;3;-1.19
2022-12-26 05:51:16.6463280;cg1;4554;1;1;20;11;0;0;0;0;3;-1.0
2022-12-26 06:21:53.2783440;cg1;4576;1;1;24;5;0;0;0;0;3;-0.62
